GENE	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
1778_tnpA_JX469829.1	2	4	0	5	11	4	259	13	6
2030_tnpA_HQ730118.1	0	22	1	4	5	4	34	3	2
2179_tnpA_CCYE01000037.1	0	0	0	2	4	3	4	12	3
2185_tnpA_CP003204.1	0	0	0	0	0	0	0	0	0
2431_tnpA3_CP002151.1	0	0	0	3	0	0	5	19	10
2452_tnpA_CCAE010000033.1	0	4	5	1	15	6	9	11	2
2627_tnpA_ISSod9_AE014300.1	0	0	0	0	1	0	0	1	0
2702_tnpA_EF079106.1	0	1	2	1	2	1	2	4	1
2711_tnpA_AF121000.1	0	0	0	0	0	0	0	0	0
2728_tnpA_LT222315.1	0	0	0	0	0	0	0	1	0
2734_tnpA_JN106164.1	6	5	5	632	67	73	17	32	10
2796_tnpA5_CP002153.1	0	0	0	8	1	0	29	30	14
330_tnpA_KP893385.1	16	142	11	529	80	23	38	34	13
341_tnpA_KU130294.1	0	0	0	0	3	0	4	1	2
382_tnpA-2_AM261760.1	0	0	1	2	3	0	47	0	0
434_tnpA_KC170280.1	16	704	37	49	162	26	280	193	70
446_tnpA_KF856624.1	0	41	0	7	17	1	277	6	1
552_tnpA_AJ344068.1	0	2	0	0	1	0	10	1	3
662_tnpA_AJ251307.2	0	0	0	0	2	1	29	4	11
684_tnpA_AB238971.1	0	0	0	1	0	0	1	1	0
797_tnpA_EF469735.1	0	3	0	1	6	0	3	17	4
926_tnpA2_AJ431260.1	0	4	2	3	10	2	17	46	16
1770_tnpA_AM039951.1	0	0	0	0	0	0	0	0	0
2614_tnpA_AJ251743.1	0	3	1	1	11	1	4	6	0
498_tnpA_CP003891.1	0	0	0	0	0	0	0	0	0
1227_tnpA_AY780525.1	0	0	0	0	0	0	0	0	0
1549_tnpA_CAGJ01000062.1	0	0	0	1	0	0	0	1	0
2343_tnpA_LXLF01000020.1	0	0	0	0	0	0	0	0	0
2492_tnpA_CAGJ01000127.1	0	0	0	0	0	0	0	2	0
321_tnpA_CCXZ01000015.1	0	0	0	0	0	0	0	1	0
1561_tnpA_AP010803.1	0	0	0	0	0	0	0	2	0
2099_tnpA_AP010805.1	0	0	0	0	1	0	1	1	0
2557_tnpA_CDNB01000043.1	1	0	0	0	0	0	0	0	0
2766_tnpA_LN997849.1	0	0	0	0	0	0	0	0	0
1775_tnpA_CP000040.1	0	0	0	0	0	0	0	0	0
2194_tnpA_LC015492.1	0	0	0	0	0	0	0	0	0
572_tnpA_CP004000.1	0	0	0	0	0	0	8	3	0
2245_tnpA_CP000042.1	0	0	0	0	0	0	0	0	0
2252_tnpA_LK021128.1	0	0	0	0	0	0	0	0	0
1069_tnpA_HE999757.2	0	0	0	0	0	0	0	0	0
1517_tnpA_AGFM01000122.1	0	0	0	0	0	0	2	0	0
1621_tnpA_AY305378.1	0	0	0	0	0	0	0	0	0
693_tnpA_X90708.2	0	0	0	0	0	0	0	0	0
2172_tnpA_CYGX02000051.1	0	0	0	0	0	0	0	0	0
2454_tnpA_CYGY02000079.1	0	0	0	0	0	0	0	0	0
2495_tnpA_FMSH01000496.1	0	0	0	0	0	0	0	0	0
1322_tnpA_FO203427.1	0	0	0	0	0	0	0	0	0
2283_tnpA_CU633751.1	0	0	0	0	0	0	0	0	0
2341_tnpA_KX530813.1	0	0	0	0	0	0	74	5	0
557_tnpA_CP002367.1	0	0	0	0	0	0	6	1	0
832_tnpA_GU591497.1	0	0	0	0	2	0	179	18	105
2780_tnpA_HE999757.2	0	0	0	0	0	0	0	0	0
464_tnpA_CP001603.1	0	0	0	0	0	0	0	0	0
1403_tnpA_JN104632.1	0	0	0	0	0	0	5	8	5
299_tnpA_AH010657.3	6	38	16	576	16	27	100	235	113
1883_tnpA_JN127372.1	0	0	0	0	0	0	1	0	1
1128_tnpA_JNFD01000045.1	0	0	0	0	1	0	0	0	0
1267_tnpA_FO082821.1	0	0	0	0	2	0	0	0	0
345_["tnpA[_Tn3_like"]KR822247.1	0	0	0	2	131	1	641	0	5
1523_tnpA1_JFHO01000231.1	0	0	0	0	0	0	0	0	0
744_tnpA_AF110140.1	0	0	0	0	0	0	0	0	0
549_tnpA_AP010803.1	0	3	0	1	0	0	1	0	4
279_tnpA_M95402.1	6	26	8	30	258	17	25	12	7
1289_tnpA_GQ468938.1	0	0	0	0	1	0	0	1	1
1907_tnpA_AY232820.1	0	0	0	0	0	0	2	0	3
2503_tnpA1_FMJB01000022.1	0	0	0	0	0	0	0	0	0
809_tnpA2_JFHO01000231.1	0	0	0	0	0	0	0	0	0
1091_tnpA_AY327575.2	6	18	27	572	11	37	83	260	81
2205_tnpA_KX029331.1	1	2	0	0	3	0	3	1	2
2267_tnpA_KC354801.1	0	0	0	0	2	0	3	2	0
2735_tnpA_HE616891.1	0	0	0	0	0	0	4	14	8
2273_tnpA_JYHQ01000107.1	0	0	0	0	0	0	0	0	0
2510_tnpA_CANI01000054.1	0	0	0	1	2	2	0	2	3
2443_tnpA_KC543497.1	0	4	0	1	0	0	8	3	0
2035_tnpA_CBSZ010000094.1	0	0	0	0	0	0	0	0	0
1088_tnpA_U33002.1	0	0	0	0	0	0	0	0	0
2002_tnpA_AF072896.1	0	0	0	0	0	0	0	0	0
287_tnpA_KT922275.1	0	3	2	16	152	1	30	12	2
2451_tnpA_JN106169.1	10	25	18	464	15	28	80	209	78
573_tnpA_AP014646.1	2	0	0	1	0	1	4	0	0
1364_tnpA_LN681228.1	0	1	0	0	0	0	0	0	0
1162_tnpA_ISSod4_AE014300.1	0	0	0	0	0	0	0	1	0
308_tnpA_AM234722.1	0	0	0	2	35	1	72	1	0
950_tnpA_CYCY01000048.1	1	3	3	25	140	3	35	12	3
2189_tnpA_M90749.1	0	0	0	0	0	0	0	0	0
2258_tnpA_CAHO01000139.1	0	0	0	0	0	0	0	0	0
