Taxa	BFH10_S128	BFH11_S129	BFH1_S123	BH01_S76	BH02_S77	BH03_S78	FH1_S162	FH2_S163	FH3_S164
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0	2	0	0	0	0	26	16	18
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Unclassified Microbacteriaceae	1	9	4	0	0	0	14	16	9
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	0	0	1	0	0	0	3	2	3
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus	0	0	0	0	1	0	4	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Nesterenkonia	0	0	1	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia	0	0	0	0	0	0	2	9	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Unclassified Micrococcaceae	1	0	1	0	0	0	1	2	3
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Unclassified Promicromonosporaceae	0	0	0	0	0	1	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter	0	0	0	0	0	0	0	2	4
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Unclassified Micrococcales;	6	4	3	0	0	2	7	26	18
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	0	0	0	0	0	0	0	2	2
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Unclassified Micromonosporaceae	2	0	1	0	0	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium	1	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	3	2	0	0	0	0	1	1	3
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Unclassified Nocardioidaceae	1	2	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Luteococcus	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Microlunatus	0	0	0	0	0	0	1	0	1
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Ponticoccus	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium	0	1	0	0	0	0	4	1	2
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicicella	0	0	0	0	0	0	0	1	1
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propioniciclava	0	1	0	0	0	0	1	4	1
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus	0	0	0	0	0	0	4	1	4
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Unclassified Propionibacteriaceae	1	9	2	1	0	8	28	34	48
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Unclassified Propionibacteriales;	0	0	0	0	0	0	6	6	9
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora	0	0	0	1	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Unclassified Pseudonocardiaceae	0	0	0	0	0	0	0	4	0
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	2	0	0	0	0	1	1	1	1
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Unclassified Streptomycetaceae	2	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Unclassified Streptosporangiaceae	1	0	0	0	0	0	0	1	3
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Unclassified Streptosporangiales;	1	1	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Unclassified Actinobacteria;;	55	32	10	2	1	9	39	63	52
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium	0	1	0	0	1	0	0	0	2
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	1	2	1	0	0	0	21	5	37
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Coriobacterium	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella	0	0	0	0	0	0	1	0	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Gordonibacter	0	0	1	0	0	0	0	0	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Slackia	0	0	0	0	0	0	1	0	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Unclassified Coriobacteriaceae	1	0	0	0	0	2	11	3	9
Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	0	0	1	0	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Unclassified Solirubrobacterales;	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Unclassified Actinobacteria;;;	4	5	4	0	1	0	0	0	0
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11 gut group;Unclassified BS11 gut group	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	7	12	25	2	28	13	368	160	270
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Unclassified Bacteroidaceae	0	0	1	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Alkaliflexus	0	1	2	0	0	1	2	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Cytophaga	0	0	1	0	0	0	0	2	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum	2	0	1	0	0	4	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Unclassified Marinilabiaceae	0	0	2	0	1	1	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	0	0	0	0	0	4	5	2	10
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas	0	1	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas	0	1	2	0	0	1	3	2	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter	0	0	0	0	0	0	3	1	4
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter	8	8	16	0	0	14	8	8	9
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	1	4	8	2	0	24	86	16	54
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Petrimonas	0	0	0	0	0	3	2	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0	0	1	0	0	5	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Proteiniphilum	0	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella	0	0	2	0	0	1	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Unclassified Porphyromonadaceae	16	10	24	1	1	46	25	9	17
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	8	36	25	6	6	15	34	12	574
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Unclassified Prevotellaceae	1	3	2	0	0	1	0	0	12
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	2	5	9	0	0	10	60	11	31
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Blvii28 wastewater-sludge group	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;RC9 gut group	1	1	3	0	0	7	0	0	8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella	0	1	1	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Unclassified Rikenellaceae	2	3	10	1	0	13	3	0	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;Porphyromonadaceae	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unclassified Bacteroidales;	29	24	41	0	13	78	25	18	40
Bacteria;Bacteroidetes;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Prolixibacter	4	0	2	0	0	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus	0	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Unclassified Cyclobacteriaceae	1	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga	0	0	0	0	0	0	0	1	2
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter	0	0	0	0	0	0	0	0	2
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Leadbetterella	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Meniscus	1	5	1	0	0	4	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Runella	0	0	1	0	0	0	0	0	2
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga	1	1	3	0	0	2	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Unclassified Cytophagaceae	2	1	4	0	0	2	1	1	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Candidatus Amoebophilus	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flexithrix	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Unclassified Flammeovirgaceae	0	0	1	0	0	1	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Unclassified Cytophagales;	5	8	1	0	0	6	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Order II Incertae Sedis;Rhodothermaceae;Rhodothermus	0	0	2	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae;Unclassified Blattabacteriaceae	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Cryomorpha	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Fluviicola	0	0	0	0	0	0	1	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia	0	1	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Unclassified Cryomorphaceae	3	0	5	0	0	0	0	3	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Wandonia	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0	1	0	0	0	0	1	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	0	1	2	1	2	1	26	56	15
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	0	0	1	4	4	0	42	21	5
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	18	3	1	3	2	1	73	78	69
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gillisia	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella	0	0	0	0	0	3	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Ornithobacterium	0	0	2	0	0	3	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter	0	2	1	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Riemerella	0	0	1	0	0	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Tenacibaculum	0	0	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Unclassified Flavobacteriaceae	14	9	21	6	5	22	67	50	34
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Weeksella	0	0	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Unclassified Flavobacteriales;	5	1	1	0	0	1	0	3	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga	0	0	0	0	0	0	2	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavihumibacter	0	0	0	0	0	1	0	0	0
