GENE	BFH12_S130	BH09_S83	BFH35_S153	BSE93_S121	BH47_S108	BH52_S112	BH36_S101	BFH33_S151	BFH9_S127	FH6_S167	BH10_S84	BFH15_S133	BFH22_S140	BFH31_S149	BH50_S111	BH30_S94	BFH32_S150	BFH6_S125	BFH8_S126	BSE100_S122	BFH20_S138	BFH21_S139	BFH14_S132	BFH24_S142	FH1_S162	BH06_S81	BSE79_S120	BH34A_S98	BH20_S88	BFH17_S135	BH31_S95	BH11_S85	BFH36_S154	BH22_S89	BH45_S106	BH61_S116	FH5_S166	BFH25_S143	BFH41_S160	BFH18_S136	BH59_S114	BH13_S86	BH03_S78	BH38_S103	BFH40_S159	BFH38B_S157	BH33_S97	BH32_S96	BFH13_S131	BFH4_S124	BFH10_S128	BFH39_S158	BFH19_S137	BH37_S102	FH8_S169	BH04_S79	BH25_S91	BH01_S76	BFH23_S141	BH58_S113	BH14_S87	BSE74_S119	BH05_S80	BFH1_S123	FH3_S164	BH63_S118	BH48_S109	BFH34_S152	BFH28_S146	BH07_S82	BFH11_S129	BH44_S105	FH10_S171	FH9_S170	BFH27_S145	BFH29_S147	FH7_S168	BFH16_S134	FH4_S165	BH02_S77	BH29_S93	BH39_S104	BH60_S115	BH62_S117	BH27_S92	BFH26_S144	BH35_S100	BFH37_S155	FH2_S163	BFH42_S161	BH46_S107	BH24_S90	BH34B_S99	BFH38A_S156	BH49_S110	BFH30_S148
1995_tnpA_CP009111.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2490_tnpA_FO681494.1	0	26	7	0	7	0	4	6	3	1	7	4	1	2	0	3	6	2	4	0	0	0	0	0	3	0	0	1	0	0	5	1	2	0	1	1	2	1	21	0	2	3	0	1	6	4	0	1	4	0	0	0	0	1	0	0	0	1	2	6	1	0	1	0	1	0	12	4	2	4	0	5	0	1	0	1	6	0	4	1	3	2	14	0	16	6	0	0	4	20	0	0	5	2	11	55
331_tnpA_AY208917.2	121	152	1769	36	65	18	50	1295	14	49	364	29	24	446	46	35	941	65	16	4	352	62	8	1	156	3	3	9	1	10	14	2	3465	2	44	6	14	804	211	20	54	135	59	26	101	783	9	379	1	0	15	308	1284	86	34	5	2	44	184	43	5	28	358	171	88	2	249	632	470	43	112	40	0	327	4	167	82	2	26	27	57	10	40	6	105	421	52	292	183	11	9	2	10	751	30	251
458_tnpA_KC609323.1	0	10	4	0	2	3	1	68	0	0	12	0	0	3	4	5	6	0	3	1	8	0	0	0	1031	0	1	3	0	1	5	0	2	0	0	8	0	6	25	1	3	4	2	3	6	1	0	4	0	0	0	9	0	1	124	1	0	1	4	7	0	0	1	1	1	0	6	0	2	1	0	6	0	3	0	1	90	1	1	2	6	2	4	4	4	9	3	0	57	10	0	0	0	2	4	28
746_tnpA_AJ863570.1	683	373	758	196	1290	943	868	1181	1430	65	1048	4876	911	303	359	582	1478	4096	4538	28	568	714	118	4	255	54	18	396	7	171	759	15	630	10	401	1104	42	2034	1221	166	14772	566	339	2787	935	1213	196	1029	1602	28	249	260	292	443	573	6	24	1044	912	18878	65	16	1339	1175	280	4	1012	1694	845	156	630	470	9	182	8	469	743	399	260	337	940	638	19573	814	339	518	530	219	1041	336	464	9	471	1364	1610	1330
758_tnpA3_FR875157.1	2	50	6	2	3	4	19	9	2	0	23	9	1	11	3	16	32	11	12	0	8	2	0	0	2	0	0	3	1	1	12	0	3	0	8	11	0	5	75	0	35	19	1	14	27	13	5	17	4	0	2	4	2	7	4	0	0	4	7	52	0	1	4	4	2	0	60	32	3	21	1	15	0	1	0	14	5	1	2	7	35	7	58	1	57	5	4	8	5	29	3	0	10	10	65	104
1143_tnpA_FR820585.1	0	4	11	0	1	0	0	0	0	0	10	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	5	0	2	0	0	2	0	1	0	0	3	0	1	1	0	0	0	0	4	2	0	0	1	1	0	0	0	0	2	1
1490_tnpA_AJ515144.2	1	1	0	1	0	1	0	2	0	3	0	0	0	0	2	14	29	21	1	1	30	18	0	0	27	0	0	0	0	0	10	0	4	0	0	0	5	64	3	6	0	3	0	0	8	9	0	1	0	0	0	1	12	0	19	0	0	0	0	0	0	0	0	18	104	0	0	4	0	0	4	0	1	6	0	0	17	0	1	0	2	5	0	0	0	8	0	0	50	1	1	0	1	19	0	0
2200_tnpA_AY365053.1	0	0	6	1	1	0	2	1	0	0	0	0	0	6	1	7	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	3	3	0	3	0	0	10	9	0	3	5	1	0	2	1	0	0	1	0	0	0	1	2	3	0	0	0	72	8	1	0	0	0	0	0	1	1	1	1	0	0	1	2	0	3	8	0	2	0	4	0	7	0	3	1	0	0	2	14	0	0	3	1	2	13
2307_tnpA_AF333761.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2441_tnpA1_FR875157.1	0	3	1	1	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	9	0	0	4	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	1	0
2746_tnpA_AM420293.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
2362_tnpA_AJ250371.1	124	527	988	2338	4519	598	411	246	291	419	808	614	60	49	107	141	1306	248	592	14	236	6927	726	3	519	19	1397	58	3	619	130	507	425	4	145	26	118	353	212	46	186	173	247	676	202	1197	19	1231	463	21	59	70	759	162	553	19	9	4162	317	72	37	14	404	196	851	4	174	1377	1966	45	216	103	5	296	7	317	835	69	537	108	205	59	34	10	118	103	281	112	2390	68	304	8	58	1357	444	156
1501_tnpA_LO018305.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2493_tnpA_U03554.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
337_tnpA_KF295829.1	9	2610	3626	32	34	67	264	2490	3	26	1397	25	70	3703	30	189	47	236	53	7	380	137	11	10	3378	12	1	50	5	27	34	11	526	13	333	9	8	741	808	19	2552	1187	27	93	227	691	18	345	14	9	5	1968	8692	72	63	4	140	38	7818	3694	10	3	6	12	9	1	1076	215	1181	15	12	366	12	12	19	263	61	61	66	2298	329	26	5621	16	36	1402	108	5378	31	18	8	7	53	739	736	2340
611_tnpA_X98999.3	0	2	41	17	0	0	2	4	1	8	4	15	1	0	0	0	13	2	17	1	2	1	0	0	9	1	0	0	0	0	0	0	206	0	0	0	0	22	4	1	17	0	0	0	0	2	0	1	0	0	2	0	16	3	0	0	0	3	7	4	0	0	0	0	1	0	1	6	1	1	1	0	1	70	0	0	2	0	0	16	3	1	0	0	0	1	0	4	4	0	0	1	0	4	3	0
1279_tnpAc_CCYE01000010.1	0	0	24	8	0	0	0	0	0	2	1	3	1	0	0	0	3	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	71	0	0	0	1	9	0	1	1	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	2	0	0	0	0	0	4	0	1	5	1	0	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0
1331_tnpAc_AB088420.3	0	2	53	10	0	0	1	1	0	0	4	5	0	3	1	0	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	119	0	0	0	1	13	0	6	0	1	0	0	0	5	0	0	0	0	0	0	5	0	3	0	0	1	1	0	0	0	0	0	11	0	2	7	2	2	4	1	0	58	0	0	3	0	0	1	0	0	0	0	0	7	0	1	6	0	0	0	0	3	0	0
2096_tnpA_AB375440.1	0	8	106	2	0	0	2	0	0	0	4	8	0	2	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	1	3	6	0	1	33	1	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	3	3	19	0	0	0	0	2	0	0	1	0	0	2	1	0	32	1	332	0	0	1	3	1	0	0	0	0	2	0	1	1	0	0	0	2	4	0	10
785_tnpA_AF151431.1	0	10	130	26	0	0	0	7	0	1	6	10	0	1	1	0	18	4	3	3	0	0	1	0	10	0	0	1	0	1	0	0	329	1	0	1	37	29	3	1	6	2	0	0	0	7	0	2	0	0	2	1	21	0	1	0	0	2	15	2	0	0	2	5	4	0	1	29	4	1	2	0	0	171	0	1	4	0	3	0	0	0	1	0	0	9	0	2	7	0	0	1	0	3	1	0
652_tnpA_Y09450.1	12	24	245	5	5	2	5	182	3	4	47	5	2	68	2	4	160	10	0	0	64	7	4	1	22	2	2	1	0	1	0	0	442	0	6	1	7	98	39	4	10	17	9	4	23	125	1	44	0	0	4	36	173	7	1	0	0	7	22	6	1	1	40	22	10	1	30	117	62	6	20	4	0	37	0	37	15	2	2	3	5	2	9	1	13	53	9	37	25	3	0	0	1	117	8	33
1169_tnpA_EU780013.1	3	2234	542	1	7	7	76	15	0	40	4139	1	17	118	7	19	2	1	46	0	1	1	3	0	874	6	0	23	0	0	24	5	77	2	8	7	28	10	127	2	4	115	10	21	13	22	11	2	1	13	1	34	69	14	11	2	8	76	3	8	5	0	1	7	4	0	43	80	15	0	0	1	2	231	0	15	34	1	317	863	16	6	12	5	19	0	19	58	79	2	5	1	27	25	11	348
