Taxa	BFH10_S128	BFH11_S129	BFH12_S130	BFH13_S131	BFH14_S132	BFH15_S133	BFH16_S134	BFH17_S135	BFH18_S136	BFH19_S137	BFH1_S123	BFH20_S138	BFH21_S139	BFH22_S140	BFH23_S141	BFH24_S142	BFH25_S143	BFH26_S144	BFH27_S145	BFH28_S146	BFH29_S147	BFH30_S148	BFH31_S149	BFH32_S150	BFH33_S151	BFH34_S152	BFH35_S153	BFH36_S154	BFH37_S155	BFH38A_S156	BFH38B_S157	BFH39_S158	BFH40_S159	BFH41_S160	BFH42_S161	BFH4_S124	BFH6_S125	BFH8_S126	BFH9_S127	BH01_S76	BH02_S77	BH03_S78	BH04_S79	BH05_S80	BH06_S81	BH07_S82	BH09_S83	BH10_S84	BH11_S85	BH13_S86	BH14_S87	BH20_S88	BH22_S89	BH24_S90	BH25_S91	BH27_S92	BH29_S93	BH30_S94	BH31_S95	BH32_S96	BH33_S97	BH34A_S98	BH34B_S99	BH35_S100	BH36_S101	BH37_S102	BH38_S103	BH39_S104	BH44_S105	BH45_S106	BH46_S107	BH47_S108	BH48_S109	BH49_S110	BH50_S111	BH52_S112	BH58_S113	BH59_S114	BH60_S115	BH61_S116	BH62_S117	BH63_S118	BSE100_S122	BSE74_S119	BSE79_S120	BSE93_S121	FH10_S171	FH1_S162	FH2_S163	FH3_S164	FH4_S165	FH5_S166	FH6_S167	FH7_S168	FH8_S169	FH9_S170
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;MSP41;Unclassified MSP41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Miscellaneous Euryarchaeotic Group;Unclassified Miscellaneous Euryarchaeotic Group	0	2	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Unclassified Halobacteriales;	3	8	1	0	1	0	0	39	0	0	2	0	6	0	0	0	0	0	4	0	0	0	0	6	1	1	0	0	0	0	1	0	0	0	0	8	1	1	2	0	0	0	1	0	1	0	0	0	24	0	1	0	0	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	6	8	9	11	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium	36	22	36	2	0	15	2	8	262	111	16	101	28	63	6	0	11	5	0	109	27	6	6	6	10	15	3	2	1	5	2	0	7	6	5	26	66	8	27	0	0	6	0	4	23	0	0	1	1	2	95	0	0	0	0	2	18	20	2	1	3	28	37	3	143	15	10	4	324	235	26	14	70	35	305	4	5	4	4	30	20	0	3	1	9	6	0	2	0	0	0	0	1	0	0	2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	26	8	11	24	18	9	20	3	162	172	24	71	14	14	2	0	12	3	1	39	41	96	7	14	25	5	13	134	0	29	24	132	69	120	9	126	12	2	60	0	1	0	0	22	0	0	0	0	1	9	30	29	0	25	0	5	1	11	17	5	5	24	27	9	14	19	20	14	8	3	25	11	60	13	357	3	6	9	4	7	4	0	1	1	0	4	0	3	1	3	0	1	79	3	4	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera	7	4	1	7	5	5	12	0	2	3	6	3	3	0	0	0	4	2	0	0	20	29	1	7	8	0	1	44	0	1	1	52	25	24	0	82	4	1	36	0	0	0	0	7	2	0	0	0	0	0	1	8	0	0	0	3	0	1	0	0	0	7	5	0	0	0	0	2	0	0	3	1	2	0	36	0	5	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter	0	2	0	2	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Unclassified Methanobacteriaceae	16	8	14	7	1	2	0	6	75	91	3	38	1	12	1	0	4	2	3	14	11	5	4	2	4	1	2	5	0	3	6	10	8	4	6	11	6	2	5	0	0	0	2	0	4	1	0	0	5	3	32	2	0	1	0	2	2	6	1	1	2	7	13	0	23	0	2	4	27	28	4	11	13	6	166	1	2	1	0	6	1	0	3	2	24	7	0	0	1	0	0	0	1	1	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Unclassified Methanobacteriales;	1	12	2	2	1	0	0	40	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	7	7	0	0	0	0	0	0	0	0	0	0
